Date,Actual_Demand,SARIMAX_Forecast,LSTM_Forecast
2024-12-23,72,25.251520631408724,41.500751078128815
2024-12-30,91,31.905486353012023,37.155702114105225
2025-01-06,66,39.08424839005992,40.840914845466614
2025-01-13,62,49.549152302017056,45.208903551101685
2025-01-20,57,48.04953307934947,46.105695962905884
2025-01-27,66,46.24393234957464,46.474289298057556
2025-02-03,57,46.907288052202865,48.20612549781799
2025-02-10,60,49.34105020439563,49.21317279338837
2025-02-17,75,48.544463384516185,48.792043924331665
2025-02-24,29,51.00856124124673,45.88216423988342
2025-03-03,39,48.85431122841783,43.71202826499939
2025-03-10,26,50.979907270265215,43.259234726428986
2025-03-17,43,49.19705210642303,43.88414025306702
2025-03-24,34,53.306024222837976,45.14641880989075
2025-03-31,28,47.83774216970867,46.13525688648224
2025-04-07,36,50.14391264557828,46.18919491767883
2025-04-14,88,47.38681061312052,46.524980664253235
2025-04-21,64,49.65061172961672,46.87666654586792
2025-04-28,65,49.80548249371149,47.20478117465973
2025-05-05,58,48.601264743043515,47.73301899433136
2025-05-12,35,51.19776761025756,48.21499764919281
2025-05-19,56,50.33542015314218,48.09869885444641
2025-05-26,33,47.67410217756679,48.38277041912079
2025-06-02,46,50.35714432524095,48.625999093055725
2025-06-09,13,51.424443336144535,48.285781145095825
2025-06-16,53,49.007928007459235,46.06232702732086
2025-06-23,86,49.158931430305444,45.7943919301033
2025-06-30,46,48.05427414697698,45.75005054473877
2025-07-07,22,51.071031533338775,45.734995007514954
2025-07-14,43,52.652177914363946,46.33371412754059
2025-07-21,48,50.587242483514935,46.832700967788696
2025-07-28,55,49.64096911818753,47.38271236419678
2025-08-04,74,49.182949482683306,47.92501389980316
2025-08-11,69,54.22375988134854,48.87751877307892
2025-08-18,77,51.90421618555363,49.03979778289795
2025-08-25,14,50.59154869691734,49.3056058883667
2025-09-01,56,47.90170110735716,50.16350030899048
2025-09-08,47,47.43430737870473,50.29347538948059
2025-09-15,39,55.17582226218498,50.223846435546875
2025-09-22,57,48.65404326929873,50.12202978134155
2025-09-29,53,51.99599234787405,49.930166602134705
2025-10-06,59,55.49144336019081,49.84190225601196
2025-10-13,68,55.31114383257935,49.68190908432007
2025-10-20,71,50.220512182120096,49.64614927768707
2025-10-27,45,51.675319852746966,50.5526739358902
2025-11-03,42,51.1489839999288,51.225066781044006
2025-11-10,56,50.501351445474874,51.70343458652496
2025-11-17,22,56.40695245825054,52.80120253562927
2025-11-24,42,55.40865368283128,52.56923258304596
2025-12-01,36,51.85896900145497,51.680320501327515
2025-12-08,33,50.3124799132455,50.66096067428589
2025-12-15,40,32.426472496026385,48.94577622413635
2025-12-22,11,36.32350257146136,40.51778256893158
2025-12-29,58,36.811090830761856,35.82952469587326
2026-01-05,50,37.38295994199688,37.522141337394714
2026-01-12,41,51.788461703844035,40.61419069766998
2026-01-19,63,50.80950408340751,41.81850969791412
2026-01-26,45,51.18696715025076,43.216086626052856
2026-02-02,48,51.34060481748593,44.896646440029144
2026-02-09,37,52.22452057724337,45.70809185504913
2026-02-16,46,51.44410604960638,46.11669898033142
2026-02-23,41,52.18448199626018,48.43742907047272
2026-03-02,34,50.91215623942722,49.55632746219635
2026-03-09,46,52.205488338227774,49.00021016597748
2026-03-16,61,52.118796377191266,48.851080536842346
2026-03-23,14,51.74582289249824,48.75987946987152
2026-03-30,63,52.119150698772046,48.49039852619171
2026-04-06,40,51.60259396803576,48.6242401599884
2026-04-13,36,52.108666622299154,48.849244117736816
2026-04-20,19,52.18893826740302,48.74979078769684
2026-04-27,55,52.174097554161456,48.49651217460632
2026-05-04,49,52.14757932532106,49.803128242492676
2026-05-11,59,52.22913103479403,49.9376904964447
2026-05-18,43,52.19289928630605,49.64426636695862
2026-05-25,14,52.095228754734734,51.34459674358368
