Forecast_Week,Projected_Seat_Covers
2026-06-01,46
2026-06-08,45
2026-06-15,49
2026-06-22,52
2026-06-29,47
2026-07-06,48
2026-07-13,54
2026-07-20,52
2026-07-27,49
2026-08-03,53
2026-08-10,50
2026-08-17,51
2026-08-24,53
2026-08-31,47
2026-09-07,47
2026-09-14,51
2026-09-21,50
2026-09-28,54
2026-10-05,50
2026-10-12,48
2026-10-19,57
2026-10-26,51
2026-11-02,52
2026-11-09,47
2026-11-16,49
2026-11-23,51
2026-11-30,47
2026-12-07,51
2026-12-14,47
2026-12-21,48
2026-12-28,47
2027-01-04,54
2027-01-11,48
2027-01-18,44
2027-01-25,50
2027-02-01,44
2027-02-08,48
2027-02-15,41
2027-02-22,43
2027-03-01,48
2027-03-08,50
2027-03-15,49
2027-03-22,48
2027-03-29,48
2027-04-05,45
2027-04-12,48
2027-04-19,49
2027-04-26,54
2027-05-03,53
2027-05-10,47
2027-05-17,54
2027-05-24,53
2027-05-31,53
